iter	Passed	Remaining
559	246145	413173
560	246572	412712
561	247030	412303
562	247516	411941
563	247969	411523
564	248522	411272
565	249109	411073
566	249575	410677
567	250122	410412
568	250589	410016
569	251070	409642
570	251533	409237
571	252044	408910
572	252523	408533
573	253050	408231
574	253563	407906
575	254042	407526
576	254485	407088
577	254977	406728
578	255465	406362
579	255978	406035
580	256454	405648
581	256955	405300
582	257441	404929
583	257889	404497
584	258359	404100
585	258820	403689
586	259320	403337
587	259753	402883
588	260205	402457
589	260672	402054
590	261137	401647
591	261576	401201
592	262092	400872
593	262580	400501
594	263052	400105
595	263440	399580
596	263862	399108
597	264329	398705
598	264803	398310
599	265343	398015
600	265875	397707
601	266316	397263
602	266803	396887
603	267281	396497
604	267780	396137
605	268244	395726
606	268723	395338
607	269257	395028
608	269735	394638
609	270222	394258
610	270805	394019
611	271279	393620
612	271743	393208
613	272196	392778
614	272723	392455
615	273199	392059
616	273688	391679
617	274201	391335
618	274681	390944
619	275140	390522
620	275650	390172
621	276113	389754
622	276569	389328
623	277023	388898
624	277500	388500
625	277992	388123
626	278477	387736
627	278978	387371
628	279469	386992
629	279957	386608
630	280407	386171
631	280965	385882
632	281418	385449
633	281884	385035
634	282338	384602
635	282853	384254
636	283362	383895
637	283852	383512
638	284291	383059
639	284783	382678
640	285312	382345
641	285806	381966
642	286295	381578
643	286777	381182
644	287306	380848
645	287820	380493
646	288259	380039
647	288722	379616
648	289177	379183
649	289709	378850
650	290182	378441
651	290704	378093
652	291257	377787
653	291714	377355
654	292234	377004
655	292720	376610
656	293210	376220
657	293768	375915
658	294236	375498
659	294739	375122
660	295243	374748
661	295737	374362
662	296201	373937
663	296670	373519
664	297160	373126
665	297674	372764
666	298202	372417
667	298698	372032
668	299245	371708
669	299701	371272
670	300164	370844
671	300661	370457
672	301164	370079
673	301708	369749
674	302202	369358
675	302780	369069
676	303319	368732
677	303865	368402
678	304426	368091
679	304981	367772
680	305445	367341
681	305988	367006
682	306501	366635
683	307029	366281
684	307563	365933
685	308067	365549
686	308579	365174
687	309065	364768
688	309558	364371
689	310077	364004
690	310583	363621
691	311138	363294
692	311624	362887
693	312092	362458
694	312546	362014
695	313092	361675
696	313610	361304
697	314092	360891
698	314566	360469
699	315117	360134
700	315578	359696
701	316087	359313
702	316565	358894
703	317101	358541
704	317578	358120
705	318055	357699
706	318567	357318
707	319051	356905
708	319524	356479
709	319988	356043
710	320440	355594
711	320939	355197
712	321418	354777
713	321947	354413
714	322474	354045
715	322927	353596
716	323376	353143
717	323908	352780
718	324437	352414
719	324948	352027
720	325490	351674
721	326063	351353
722	326604	350998
723	327098	350591
724	327784	350389
725	328369	350079
726	328873	349682
727	329373	349280
728	329896	348902
729	330408	348513
730	330936	348139
731	331471	347773
732	331952	347350
733	332539	347037
734	333105	346701
735	333610	346302
736	334095	345881
737	334620	345502
738	335164	345141
739	335665	344737
740	336165	344331
741	336658	343917
742	337163	343516
743	337624	343070
744	338158	342697
745	338670	342301
746	339170	341894
747	339611	341427
748	340074	340982
749	340577	340577
750	341107	340199
751	341546	339730
752	342039	339314
753	342540	338905
754	343043	338499
755	343554	338101
756	344009	337647
757	344489	337217
758	344971	336790
759	345550	336457
